24/07/2026 02:54:18 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
24/07/2026 02:54:18 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
24/07/2026 02:54:20 | INFO | Backup realizado com sucesso.
24/07/2026 02:54:20 | INFO | Arquivo criado: sistema_2026-07-24_02-54-20.db
24/07/2026 02:54:20 | INFO | Tamanho: 288.00 KB
24/07/2026 02:54:20 | INFO | Backups antigos removidos: 0
24/07/2026 02:54:20 | INFO | Tempo de execução: 1.38 segundos
24/07/2026 19:07:12 | INFO | Iniciando backup automático.
24/07/2026 19:07:12 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
24/07/2026 19:07:12 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
24/07/2026 19:07:12 | INFO | Backup realizado com sucesso.
24/07/2026 19:07:12 | INFO | Arquivo criado: sistema_2026-07-24_19-07-12.db
24/07/2026 19:07:12 | INFO | Tamanho: 288.00 KB
24/07/2026 19:07:12 | INFO | Backups antigos removidos: 0
24/07/2026 19:07:12 | INFO | Tempo de execução: 0.78 segundos
25/07/2026 19:00:05 | INFO | Iniciando backup automático.
25/07/2026 19:00:05 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
25/07/2026 19:00:05 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
25/07/2026 19:00:06 | INFO | Backup realizado com sucesso.
25/07/2026 19:00:06 | INFO | Arquivo criado: sistema_2026-07-25_19-00-06.db
25/07/2026 19:00:06 | INFO | Tamanho: 288.00 KB
25/07/2026 19:00:06 | INFO | Backups antigos removidos: 0
25/07/2026 19:00:06 | INFO | Tempo de execução: 0.27 segundos
27/07/2026 08:49:23 | INFO | Iniciando backup automático.
27/07/2026 08:49:23 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
27/07/2026 08:49:23 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
27/07/2026 08:49:24 | INFO | Backup realizado com sucesso.
27/07/2026 08:49:24 | INFO | Arquivo criado: sistema_2026-07-27_08-49-24.db
27/07/2026 08:49:24 | INFO | Tamanho: 288.00 KB
27/07/2026 08:49:24 | INFO | Backups antigos removidos: 0
27/07/2026 08:49:24 | INFO | Tempo de execução: 1.49 segundos
27/07/2026 21:42:17 | INFO | Iniciando backup automático.
27/07/2026 21:42:17 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
27/07/2026 21:42:17 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
27/07/2026 21:42:22 | INFO | Backup realizado com sucesso.
27/07/2026 21:42:22 | INFO | Arquivo criado: sistema_2026-07-27_21-42-21.db
27/07/2026 21:42:22 | INFO | Tamanho: 288.00 KB
27/07/2026 21:42:22 | INFO | Backups antigos removidos: 0
27/07/2026 21:42:22 | INFO | Tempo de execução: 5.17 segundos
29/07/2026 08:01:59 | INFO | Iniciando backup automático.
29/07/2026 08:01:59 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
29/07/2026 08:01:59 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
29/07/2026 08:01:59 | INFO | Backup realizado com sucesso.
29/07/2026 08:01:59 | INFO | Arquivo criado: sistema_2026-07-29_08-01-59.db
29/07/2026 08:01:59 | INFO | Tamanho: 288.00 KB
29/07/2026 08:01:59 | INFO | Backups antigos removidos: 0
29/07/2026 08:01:59 | INFO | Tempo de execução: 0.27 segundos
30/07/2026 08:34:07 | INFO | Iniciando backup automático.
30/07/2026 08:34:07 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
30/07/2026 08:34:07 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
30/07/2026 08:34:09 | INFO | Backup realizado com sucesso.
30/07/2026 08:34:09 | INFO | Arquivo criado: sistema_2026-07-30_08-34-08.db
30/07/2026 08:34:09 | INFO | Tamanho: 304.00 KB
30/07/2026 08:34:09 | INFO | Backups antigos removidos: 0
30/07/2026 08:34:09 | INFO | Tempo de execução: 2.36 segundos
30/07/2026 19:00:04 | INFO | Iniciando backup automático.
30/07/2026 19:00:04 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
30/07/2026 19:00:04 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
30/07/2026 19:00:05 | INFO | Backup realizado com sucesso.
30/07/2026 19:00:05 | INFO | Arquivo criado: sistema_2026-07-30_19-00-05.db
30/07/2026 19:00:05 | INFO | Tamanho: 304.00 KB
30/07/2026 19:00:05 | INFO | Backups antigos removidos: 0
30/07/2026 19:00:05 | INFO | Tempo de execução: 0.36 segundos
01/08/2026 00:26:52 | INFO | Iniciando backup automático.
01/08/2026 00:26:52 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
01/08/2026 00:26:52 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
01/08/2026 00:26:53 | INFO | Backup realizado com sucesso.
01/08/2026 00:26:53 | INFO | Arquivo criado: sistema_2026-08-01_00-26-52.db
